,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Barbell Inverted Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Barbell,1,None,0,Supine,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Ring Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,None,0,Supine,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Ring Bulgarian Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,None,0,Supine,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Alternating Double Kettlebell Rotational Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Alternating Double Kettlebell Push Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
,Cable Tall Kneeling Face Pull,,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Macebell Ballistic Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,,,Macebell,1,None,0,Standing,Double Arm,Alternating,Mixed Grip,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
,Single Arm Indian Club Outer Heart Shaped Swing,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Unsorted*,,Unilateral,Mobility
,Single Arm Clubbell Pullover,Video Demonstration,,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
,Double Clubbell Pullover,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Clubbell Pullover,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Clubbell Front Flag Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
,Single Arm Indian Club Inner Heart Shaped Swing,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Frontal Plane,,,Upper Body,Unsorted*,,Unilateral,Mobility
,Single Arm Ring Dead Hang,Video Demonstration,,Novice,Forearms,Brachioradialis,Latissimus Dorsi,Teres Major,Gymnastic Rings,1,None,0,Hanging,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Calisthenics
,Single Arm Dumbbell Suitcase Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Latissimus Dorsi,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Hip Hinge,Anti-Lateral Flexion,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,Bodybuilding
,Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Latissimus Dorsi,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Clubbell Torch Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Latissimus Dorsi,,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
,Single Arm Clubbell Torch Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Latissimus Dorsi,,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
,Double Clubbell Torch Press,,,Novice,Shoulders,Anterior Deltoids,Latissimus Dorsi,,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
,Barbell Conventional Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Latissimus Dorsi,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Powerlifting
,Barbell Sumo Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Powerlifting
,Barbell Rack Pull,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
,Barbell Snatch Grip Deadlift,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
,Alternating Double Clubbell Torch Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
,Stability Ball Hyperextension,Video Demonstration,Video Explanation,Novice,Back,Erector Spinae ,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Core,Unsorted*,Isolation,Bilateral,Unsorted*
,Barbell Seated Good Morning ,Video Demonstration,Video Explanation,Intermediate,Back,Erector Spinae ,Gluteus Maximus,Biceps Femoris,Barbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Barbell Good Morning,Video Demonstration,Video Explanation,Intermediate,Back,Erector Spinae ,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Bodyweight Wall Sit ,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Wall Sit,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Lower Body,Other,Compound,Bilateral,Unsorted*
,Bodyweight Wall Slide Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Stability Ball Wall Slide Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Suspension Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Suspension Alternating Reverse Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Squat to Bench,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,Bench (Flat),1,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Calisthenics
,Bodyweight Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Calisthenics
,Bodyweight Hand Assisted Split Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,None,0,Split Squat,Single Arm,Continuous,Hand Assisted,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Walking Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Dumbbell Goblet Squat ,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
,Miniband Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Miniband,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
,Superband Resisted Skater Jump,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Maximus,,Superband,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
,Cable Prone Single Leg Hamstring Curl,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,None,0,Prone,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
,Bodyweight Candlestick Roll Up Tuck Jump,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Plyometric
,Single Arm Clubbell Front Flag Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
,Double Clubbell Front Flag Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
,Barbell Block Pull Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
,Barbell Box Back Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Barbell Deficit Deadlift,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,Feet Elevated,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
,Barbell Front Rack Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Olympic Weightlifting 
,Barbell Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Barbell,1,None,0,Bridge,Double Arm,Continuous,Pronated,Hip Crease,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Barbell Halting Deadlift,,Video Explanation,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
,Barbell High Bar Back Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Barbell Low Bar Back Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Powerlifting
,Alternating Double Clubbell Front Flag Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
,Barbell Power Clean,Video Demonstration,Video Explanation,Expert,Glutes,Gluteus Maximus,Biceps Femoris,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting 
,Barbell Power Snatch,Video Demonstration,Video Explanation,Expert,Glutes,Gluteus Maximus,Anterior Deltoids ,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting 
,Double Indian Club Lateral Internal and External Rotations,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,2,None,0,Standing,Double Arm,Continuous,Neutral,Lateral,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Unsorted*,,Bilateral,Mobility
,Barbell Romanian Deadlift,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
,Single Arm Indian Club Lateral Internal and External Rotation,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,1,None,0,Standing,Single Arm,Continuous,Neutral,Lateral,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Unsorted*,,Unilateral,Mobility
,Barbell Back Rack Split Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Split Squat,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Stiff Legged Deadlift,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
,Barbell Sumo Back Squat,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Quadriceps Femoris,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Bodyweight Pistol Squat,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
,Bodyweight Skater Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
,Cable Pull Through,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Cable,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Double Dumbbell Suitcase Bulgarian Split Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Dumbbell Suitcase Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Dumbbell Suitcase Deficit Split Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,None,0,Split Squat,Double Arm,Continuous,Neutral,Suitcase,Continuous,Feet Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Dumbbell Suitcase Alternating Forward Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Dumbbell Suitcase Alternating Reverse Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Indian Club Overhead Arm Circles,,,Novice,Shoulders,Lateral Deltoids,,,Indian Club,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Other,,Bilateral,Mobility
,Double Dumbbell Suitcase Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,None,0,Split Squat,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Dumbbell Front Rack Alternating Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Face the Wall Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Bodyweight Feet Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,Bench (Flat),1,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Slider Single Arm Kettlebell Overhead Contralateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Slider Single Arm Kettlebell Overhead Ipsilateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Reverse Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
